λ,l(λ),u(λ),n-sequence
50/13,17,147,"{1, 1, 7, 10, 4, -13, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, -10, -1, -3846, -1, 1, -1, -1, 1, -1, -11, 1, -2, 17, -1, 22, 6, -1, -1, 1, 1, -1, 6, -3, 2, -1, 1, -7, -1, 1, 13, -6, 1, 4, 1, -1, 1, -1, 68, 73, -1, 1, 2, -1, -28, -1, -5, 1, 1, -2, 1, -20, -1, 1, 3, 33, -1, -3, 6, -11, -4, 1, -24, 3, -1, 1, -1, 1, -2, 1, -1, -1, -1, 2, -3, 1, 1, -1, -1, -1, 2, 1, -1, 1, 1, -1, -1, -1, 1, -7, -11, -1, 1, -2, 1, -1, 2, -10, 1, -1, -1, 2, -9, -1, -2, 8, 98, -32, -30, -2, 3, -3, 1, -3, 1, -1, 1, -1, 1, -4, -78, 69, -1, 3, -4, -5, -52}"
51/13,22,∞,Unknown
1/14,2,2,"{-14, 1}"
3/14,3,3,"{14, -5, 1}"
5/14,3,3,"{14, -3, 1}"
9/14,3,3,"{2, -1, 7}"
11/14,5,5,"{7, -4, 5, 1, -1}"
13/14,3,3,"{14, 1, -1}"
15/14,3,3,"{14, -1, 1}"
17/14,5,5,"{1, 4, -1, 1, -119}"
19/14,5,5,"{14, -3, 1, -1, 42}"
23/14,7,7,"{1, -1, 1, 1, 7, -1, 14}"
25/14,5,5,"{2, 1, -1, 1, -126}"
27/14,5,5,"{-2, 7, 1, -1, 1}"
29/14,5,5,"{2, 7, -1, 1, -1}"
31/14,7,7,"{3, -4, 1, -1, 1, -6, -315}"
33/14,9,9,"{-35, 4, -1, 5, 1, -2, 1, -1, 1}"
37/14,7,7,"{14, -11, 1, -1, 1, -1, -238}"
39/14,7,7,"{4, 7, -2, 1, -1, 1, -1}"
41/14,10,9,"{4, -14, 2, 1, -1, 1, -1, 1, 406}"
43/14,10,11,"{2, -7, 3, -1, 1, -1, 1, -1, 21, -1, 574}"
45/14,10,11,"{14, -3, 3, 1, -1, 1, -1, 1, -1, 2728, -14}"
47/14,12,93,"{1, 1, 1, 1, 3, -1, 1, -1, 1, -1, 1, -2, 1, 2, -9, 4, -1, 3, 1, -1, -1, -1, -1, -4, -3, 1, -6, -1, -1, 44, -3, -1, 5, -2, -1, 2, 2, 1, -3, -1, 1, -15, 1, -3, 1, -1, -2, 1, -1, 1, 2, -1, -1, 1, 1, 1, -4, -1, 3, -1, 1, -39, 1, 1, -3, -1, -2, -6, 7, 2, -3, 1, -3, -5, -1, -2, 4, -2, 1, 1, -1, 6, 7, 1, -6, -1, -1, 1, -3, -6, -1, -31, 14}"
51/14,14,27,"{1, 1, 1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, -1, 15, 3, -1, -161, 2, -9, -1, -3, -30, -1, 1, 16, 119}"
53/14,17,135,"{1, 1, 1, -2, 10, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -2, 1, 1, 1, 1, -2, 4, 2, -30, 1, -1, 2, 20, -2, -1, 2, 2, -1, -26, -1, 4, -1, 4, -2, 1, 8, -1, 1, -1, 2, 9, -1, -5, 1, -1, 1, -45, 1, -3, 1, -1, 1, -15, 1, -4, 1, -1, 2, -4, 2, -1, 3, -1, 1, 1, -1, 1, -1, 1, 25, -1, -4, -11, -2, 1, -1, 1, 2, -7, 1, 4, -1, 1, -3, 2, -1, 2, -3, -6, 1, 1, -1, 1, -2, 1, -1, -2, 10, -1, 1, -1, -1, -575, -1, 1, -2, -4, 34, 7, -1, 1, -1, 1, 3, 4, -1, 1, -1, -1, 1, -1, 1, -2, -1, 2, 1, 7, -40}"
55/14,23,137,"{1, 2, -4, -10, 10, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -2, 1, 1, -3, 1, -1, 1, -1, 1, -1, 1, -1, -6, -1, -3, 7, -3, 8, -1, 2, 88, 9, -26, 2, -7, 1, 1, -7, -2, -2, -1, 1, 16, 3, -1, -5, 1, -3, -2, 1, -2, -1, 2, 1, -1, 1, -1, 3, -2, 1, -1, 1, 7, 8, 7, -1, -6, 4, 1, -1, -1, 1, 1, 20, 1, 2, 4, 2, -2, 1, -6, 4, 1, -1, -1, 7, -1, 13, -3, 3, -4, 1, -1, 3, 1, -2, 2, 1, -1, 3, -1, 1, -1, 6, -1, 1, 3, -2, 1, 4, -1, 1, -121, -1, 1, -1, 1, -4, -7, 3}"
1/15,2,2,"{-15, 1}"
2/15,3,3,"{15, -8, 1}"
4/15,3,3,"{15, -4, 1}"
7/15,3,3,"{15, 2, -1}"
8/15,3,3,"{15, -2, 1}"
11/15,5,5,"{-3, 10, 2, -2, 1}"
13/15,5,5,"{1, -1, -6, -1, 5}"
14/15,3,3,"{15, 1, -1}"
16/15,3,3,"{15, -1, 1}"
17/15,5,5,"{1, -1, 15, -1, 1}"
19/15,5,5,"{5, 48, -1, 1, -4}"
22/15,5,5,"{-3, 5, 2, -1, 1}"
23/15,5,5,"{3, 20, -1, 1, -2}"
26/15,5,5,"{3, -1, 1, -2, -30}"
28/15,5,5,"{-165, 2, -1, 1, -2}"
29/15,5,5,"{15, 1, -1, 1, 15}"
31/15,5,5,"{15, -1, 1, -1, 15}"
32/15,5,5,"{30, -4, 1, -1, 1}"
34/15,7,7,"{-10, 1, -27, -1, 1, -1, 2}"
37/15,9,9,"{20, -1, 18, 7, -1, 1, -1, 1, 1}"
38/15,7,7,"{1, 165, 1, -1, 1, -1, -3}"
41/15,9,9,"{60, 1, 1, -1, 1, -1, 1, 1, 60}"
43/15,10,9,"{10, -3, 1, 1, -1, 1, -1, 1, 120}"
44/15,9,9,"{4, -50, 1, -1, 1, -1, 1, 2, -51}"
46/15,9,9,"{1, 230, 3, -1, 1, -1, 1, -1, 40}"
47/15,11,39,"{1, 1, 1, 1, -2, 1, -1, 1, -1, 1, -10, 1, 7, -4, 3, -1, -2, 1, -1, 3, 2, 1, -1, 7, -1, 2, -3, -2, 1, -3, 51, 6, 1, -5, -8, -1, -1, 1, 105}"
49/15,10,11,"{2, -6, 1, -1, 1, -1, 1, -1, 17184, -1, 10}"
52/15,13,97,"{1, 1, 1, 1, 1, -1, 1, -1, 1, -1, 1, -1, -1, -1, -6, -11, 1, 1, 1376, 2, -1, 638, 1, 31, 4, -1, 1, -1, -2, -2, 1, -2, -2, -1, 1, -1, -13, 1, -1, 1, 2, -1, 13, 5, 1, -1, -7, -4, -1, 3, -1, 1, -3, 1, -1, 2, -1, 3, -1, 1, -1, 4, -1, -1, 5, -1, 1, -1, -1, -1, 1, 14, -2, -1, 5, -1, 1, -1, -2, 1, -1, -3, 1, 2, -96, -1, 1, 1, -1, -2, -1, -13, -2, 3, -10, 4, -15}"
53/15,12,107,"{1, 1, 1, 1, -1, 1, -1, 1, -1, 1, -1, 2, 2, -2, -2, -1, 1, 1, 4, -1, -1, 1, -1, 9, -1, 1, 1, -1, 2, 271, 3, -1, 1, 2, -2, 2, 5, 1, 1, 4, 1, 2, -1, 1, 4, 2, -1, 1, -2, 1, -1, 1, 1, 9, -2, -1, 1, -1, -3, -1, 2, -5, 5, 1, -1, -9, -2, 3, -3, -1, 1, -1, -2, 1, -1, 1, -2, -3, -1, -3, -1, -37, -3, -3, 5, -1, 1, -3, 1, -1, 1, 4, -1, -1, 3, -65, 1, -1, 1, 1, 5, 35, -4, 1, 2, 2, -15}"
56/15,15,123,"{1, 1, 1, -10, 12, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, -33, -1, 1, -2, -2, 1, -1, 1, -2, -3, -2, 6, -2, 1, 2, 1, 2, -1, 1, 3, 1, 14, 224, 7, 6, -1, 26, 2, -1, 3, -6, -1, -1, -1, 2, 4, -1, -1, 2, -1, 1, -1, -7, 1, -5, -2, 1, -1, -13, 3, -1, 1, 10, -1, -1, 1, -1, 1, 3, -1, 1, 14, 3, 1, 1, -3, 1, -1, 1, -1, -166, 2, -97, -1, 1, -1, -1, -1, 1, -1, 1, 1, -9, 1, 1, -6, -5, 1, 2, -1, 1, -3, 2, -1, -1, 2, 2, -1, 2, -3, -1, 1, -2, 2, -11, 3, -5}"
58/15,17,59,"{1, 1, 1, -2, 6, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -32, 1, -1, 1, -1, -49, -1, 7, 10, -1, -1, -3, -15, -1, 1, 15, -2, -12, 1, 7, 8, -6, -1, 2, 1, -2, -39, 1, -3, 1, 2, 1, -1, 11, 2, -49, 2, 60}"
59/15,24,155,"{1, -1, -1, -14, 5, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 4, -1, -10, 1, -1, 1, -1, 1, -1, -1, 5, -1, 1, -1, 1, -50, 1, -1, 1, -2, -1, -1, -7, 69, -1, 1, -1, 35, -20, 1, -1, 1, 3, 1, 11, -1, -3, 1, -1, 1, -1, 1, -1, -1, 1, 8, -1, 2, 2, -3, -1, 1, 3, 1, -1, 1, 1, 1, -21, -9, -1, -1, -1, 1, -1, -4, 2, -1, 1, -1, 1, -1, 12, -5, 3, -1, 1, -1, -5, -1, 1, -2, -2, -170, -1, 2, 51, -1, 3, -5, 1, 11, 1, -4, 1, -2, 3, 1, -1, 1, -1, 33, -1, 1, -1, 1, -1, 1, -1, -12, 15, 104, -1, 1, -1, 1, -2, -11, -1, -8, -3, 13, -4, -3, 1, 1, 15}"
1/16,2,2,"{-16, 1}"
3/16,3,3,"{16, 5, -1}"
5/16,3,3,"{16, 3, -1}"
7/16,3,3,"{8, 2, -1}"
9/16,3,3,"{8, -2, 1}"
11/16,5,5,"{1, -1, -3, -8, 2}"
13/16,5,5,"{-4, 4, 5, 1, -1}"
15/16,3,3,"{16, 1, -1}"
17/16,3,3,"{16, -1, 1}"
19/16,5,5,"{2, -8, 1, -1, 16}"
21/16,5,5,"{-4, 4, 3, -1, 1}"
23/16,5,5,"{8, 2, -1, 1, 16}"
25/16,5,5,"{8, -2, 1, -1, 16}"
27/16,7,7,"{4, 1380, -1, 2, -1, 1, 25}"
29/16,7,7,"{2, 8, 1, -1, 1, 4, -4}"
31/16,5,5,"{-2, 8, 1, -1, 1}"
33/16,5,5,"{2, 8, -1, 1, -1}"
35/16,7,7,"{2, -8, 1, -1, 1, -4, -4}"
37/16,7,7,"{8, -2, 2, -1, 1, -1, -48}"
39/16,9,9,"{-8, 2, -28, 5, -1, 1, -1, 2, -1}"
41/16,7,7,"{-528, 1, -2, 1, -1, 1, -2}"
43/16,9,9,"{208, 1, 1, 1, 4, -1, 1, -1, 1}"
45/16,9,9,"{-16, 89, 4, -2, 1, -1, 1, -1, 10}"
47/16,9,9,"{6, -24, 1, -1, 1, -1, 1, 2, -56}"
49/16,9,9,"{1, 64, 3, -1, 1, -1, 1, -1, -496}"
51/16,9,9,"{24, -2, 1, -1, 1, -1, 1, -2, 24}"
53/16,10,193,"{1, 1, 1, 1, 1, -1, 1, -1, 1, -1, 1, 1, 13, -83, -1, 2, -1, 1, -1, -1, 1, -2, -1, 1, 30, -1, -1, -1, 1, -5, -1, -1, 1, 6, -1, -1, 1, -1, -1, -3, 1, -1, -1, 2, 1, -1, 2, -7, -2, 1, -1, -9, -3, 1, -4, -1, -1, 2, 3, 4, -1, 1, -3, 1, 1, -4, 1, -3, -1, 1, -1, -1, 2, 1, 5, -7, 1, -1, 1, 1, -1, -1, -2, 1, 1, -5, 1, 5, 1, 3, -1, 1, -2, 1, -1, 4, -1, 2, -1, 1, -2, 88, -1, -1, -2, 46, -1, -4, 1, -2, -2, 2, 1, -5, 2, -1, -2, 76, -1, 2, -3, -1, 4, -2, -1, 2, -39, -2, 2, 1, 1, 12, 1, -3, 2, -1, -5, -16, -1, -1, 1, -2, 1, -1, 1, 1, -1, 5, -4, -3, 1, -47, -8, 4, -1, 8, -1, 1, -3, -2, 1, -1, 1, 1, -1, -2, 1, -1, 2, -1, 1, 1, 2, -1, -1, -4, -1, 1, 7, -1, -1, -1, -4, 2, -1, 1, -34, 113, 1, 2, -1, -1, 208}"
55/16,12,53,"{1, 1, 1, 1, 1, -1, 1, -1, 1, -1, 1, -2, 1, -1, -6, -1, -2, 1, -1, 2, -1, 2, -1, 1, -2, 1, -7, -2, 3, 2, 1, -1, 2, -2, -1, -2, -2, 441, -2, 2, -1, -3, -4, 1, -16, -32, -2, 2, -2, 9, -2, -1, -16}"
57/16,13,153,"{1, 1, 1, 1, -10, 1, -1, 1, -1, 1, -1, 1, -1, 2, 1, -1, 1, -42, -2, -1, 5, -1, 1, -1, 2, 1, -2, -2, 1, 4, 1, -3, -13, 8, 1, 3, -1, -2, 2, -1, 1, -11, -1, -1, 1, -1, -2, 1, -2, 1, -2, -2, 1, -1, 1, 2, -2, 1, -1, -2, 6, -1, 1, 1, 1, -77, 3, 1, -1, 1, 2, 1, -1, 4, -5, -5, -2, 2, -1, -1, 1, -3, 1, -9, -1, 75, -23, -1, 2, -4, 6, -1, 2, 2, 1, -8, 1, -1, -2, 1, -2, -2, -2, 1, -1, 2, -1, 1, -1, 1, 1, -1, 8, -2, 1, -1, 2, 1, -1, 1, -52, 12, 2, -7, 1, -1, 1, 2, -1, 1, -1, 4, -2, 1, 1, -1, 1, 1, 14, 1, -1, 16, -1, 6, 2, -3, 1, 1, 2, -7, 1, -32, 1}"
59/16,14,115,"{1, 1, 1, -4, 4, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, 8, 3, 9, 2, -1, 1, -2, 1, -2, -1, 4, -1, 1, 1, -1, -4, 1, -1, 7, -1, 1, -1, 1, -2, 1, -1, 1, 5, 3, -2, 10, 1, -1, 1, -4, -2, 1, -1, 6, 1, -1, -24, -3, -4, 1, -3, -1, 2, 1, -1, 1, -9, 18, 1, -2, -1, 12, 1, 1, 6, 1, -7, -2, 1, 8, 1, -1, -1, -47, -1, -2, 1, -1, 1, -1, 16, 7, -2, 2, 2, 1, -4, -1, 1, 1, 2, 1, -1, 3, -2, 1, -3, -1, -10, 2, -1, 1, 8, -1, 80}"
61/16,17,115,"{1, 1, 2, -7, -2, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -8, -1, -2, 2, -2, -2, 2, -37, -2, -1, 385, -1, -1, -1, 1, -1, -1, 1, -1, 1, -10, -1, 1, 8, 1, 10, -6, 1, -1, 1, -1, 2, 2, -5, 3, 1, 1, 1, -1, 2, -1, 1, -3, 4, -1, 4, -4, -4, 10, -6, 2, -1, 1, -1, 2, -3, 2, -1, 1, -1, 1, 2, 2, -5, -1, 6, 27, 1, -1, 1, 20, 1, 1, -2, 1, -1, -1, -1, -1, 1, 2, 12, 1, -77, 1, 1, -2, 7, 1, -1, 2, 14, -1, 2, 7, -4, 4}"
63/16,25,125,"{1, -4, 3, 14, -4, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, -6, 243, -2, 2, 5, 4, 38, -1, -42, -3, 2, 1, -2, 1, 1, -1, 1, -1, 1, -2, 3, -6, -1, 1, -4, -1, -4, 3, 8, -223, -3, -2, -8, -1, 3, 6, 1, -1, 3, -1, -2, 1, -1, 1, -2, -42, 1, 2, -1, -2, -1, 1, -1, 1, 1, -1, -1, 75, 1, 1, 32, 1, -1, -5, -1, 1, -1, 1, -1, 1, 2, -3, 4, 3, 1, 1, 1, -1, 1, -2, -21, -8, 3, 6, 1, -3, 2, 1, 1, 1, -1, -2, 1, -11, -6, -24}"
1/17,2,2,"{-17, 1}"
2/17,3,3,"{17, -9, 1}"
3/17,3,3,"{17, -6, 1}"
4/17,3,3,"{17, 4, -1}"
5/17,5,5,"{17, -7, 9, 3, -1}"
6/17,3,3,"{17, -3, 1}"
7/17,5,5,"{1, -2, -17, -1, 2}"
8/17,3,3,"{17, 2, -1}"
9/17,3,3,"{17, -2, 1}"
10/17,5,5,"{17, 158, 2, -1, 11}"
11/17,5,5,"{17, 3, 1, -1, -51}"
12/17,5,5,"{17, -10, 5, -1, 2}"
13/17,5,5,"{17, -4, 1, -2, 34}"
14/17,5,5,"{17, 6, 1, -1, -102}"
15/17,5,5,"{1, -1, -17, -1, 1}"
16/17,3,3,"{17, 1, -1}"
18/17,3,3,"{17, -1, 1}"
19/17,5,5,"{1, -1, 17, -1, 1}"
20/17,5,5,"{17, -6, 1, -1, 102}"
21/17,5,5,"{17, 4, -1, 1, 68}"
22/17,7,7,"{1, -1, 17, 4, -1, 1, -17}"
23/17,5,5,"{17, -3, 1, -1, 51}"
24/17,7,7,"{1, -1, 2, 2, -2, -17, -1}"
25/17,5,5,"{17, 2, -1, 1, 34}"
26/17,5,5,"{17, -2, 1, -1, 34}"
27/17,7,7,"{85, 1, -7, -2, 2, -1, 1}"
28/17,8,7,"{9, -17, 2, -1, 1, -5, -68}"
29/17,5,5,"{119, 1, -2, 1, -1}"
30/17,8,9,"{-17, 4, 12, -9, 2, -3, 1, -1, 2}"
31/17,8,9,"{2, -4, 17, -1, -2, -1, 1, -1, -1258}"
32/17,5,5,"{-34, 4, 1, -1, 1}"
33/17,5,5,"{17, 1, -1, 1, 17}"
35/17,5,5,"{17, -1, 1, -1, 17}"
36/17,7,7,"{1, -17, 1, 4, -1, 1, -1}"
37/17,7,7,"{1, 85, 1, -1, 1, -3, 34}"
38/17,7,7,"{153, 8, 1, -1, 1, -2, 833}"
39/17,8,9,"{1, -12, 2, -1, 1, -1, 51, 1, 1700}"
40/17,9,9,"{9775, 1, -15, -1, 1, -1, 1, 1, -2}"
41/17,7,7,"{85, -1, -1, 1, -1, 1, 204}"
42/17,9,337,"{1, 1, 1, 1, 1, -1, 1, -1, 18, 1, -8, 1, -2, -2, 2, 5, -1, -2, 1, -7, -3, 3, 1, 5, 1, -3, 2, 5, -1, -1, 3, 24, 1, -2, -2, 1, 1, -4, 10, -1, 3, 3, -14, 3, -3, -1, -1, -2, 3, -3, -1, -1, -4, 5, 3, 1, 1, -2, -1, -5, -1, 8, 1, 2, -1, -4, -1, -9, 1, 1, -406, -1, -1, -5, 3, -1, 6, 20, 2, -2, -1, -1, 27, -1, 3, -2, -7, -3, 4, -2, 1, -4, -1, -6, 1, 1, -3, 1, 12, -7, 4, 9, 4, 1, 2, -2, -2, -2, -1, 2, 2, 1, -5, 2, 2, 2, 4, 16, 1, -3, -1, -11, -1, -1, -2, 1, -3, 1, -2, -3, 1, 3, 6, -2, 4, -1, -13, -2, 3, -2, 1, -3, 3, 14, -10, 1, -92, 2, -1, 2, 1, 1, -33, 3, 1, -3, 1, -4, -20, -1, -2, 2, 5, -8, 1, -4, -2, 2, 5, -2, 2, 27, 3, -1, -8, 2, -1, -3, 1, 1, 2, 26, -1, -4, -2, 1, 4, -1, 19, -1, -2, 1, 1, 2, 2, -2, 1, 2, -1, -4, 1, 2, 1, 2, -6, 9, 1, -3, 2, 1, 2, -1, 2, 1, -3, 3, 2, -4, 2, -9, 1, 27, 314, -2, 1, 19, 1, -9, 1, -34, -1, -5, 3, 2, -1, 10, -2, -11, -1, -2, -1, -3, 1, -4, -1, -34, 1, -4, 4, 2, -2, 2, 2, -1, -1, -3, -3, 5, -10, 1, -3, 5, -1, -1, 2, 2, -2, -1, -1, -17, -1, -4, -2, 1, -95, -2, 1, 6, 3, -2, -4, -6, -2, 1, -38, -1, -3, -1, -21, 13, -1, -1, 8, -5, 2, 2, -1, -36, 1, 1, -4, -1, -1, -2, -1, -1, 7, -16, -3, -3, -1, -15, 1, -2, -2, -16, 1, 5, 1, 2, -2, 2, -1, 81, 2, -1, 12, 2, -1, -1, -1, -11, 4, 12, -7, 2, 17}"
43/17,9,9,"{43, 17, 3, 1, -1, 1, -1, -48, 85}"
44/17,7,7,"{119, -9, -1, 1, -1, 1, 1819}"
45/17,7,7,"{34, 10, -1, 1, -1, 1, -527}"
46/17,9,9,"{1, -17, -3, 1, -1, 1, -1, -17, 4}"
47/17,9,95,"{1, 1, 1, 1, 5, -1, 1, -1, 1, -3, -2, -1, 1, 1, -3, 1, 14, 1, -2, -18, 2, -4, 4, -1, 25, -1, 13, 12, 1, -1, -1, 2, -4, 162, 1, 1, -2, -1, -1, -4, 1, 4, -1, 2, -1, -10, 2, 2, -1, 617, -1, -218, 41, 4, -1, 1, 1, 3, -3, 1, -5, 2, -1, 11, -73, -3, 5, 1, -2, 1, -104, -3, 3, 1, -4, 2, -1, 13, -1, -6, 2, -1, -2, 1, 1, -1, -1, -3, 1, 17, -2, 1, 11, -2, 34}"
48/17,9,9,"{1, -85, 1, -2, 1, -1, 1, -1, 476}"
49/17,9,9,"{49, -68, 1, -1, 1, -1, 1, 1, -2159}"
50/17,10,41,"{1, 1, 1, 1, 2, -1, 1, -1, 1, -2, 1, -2, 1, 1, -3, -288, 1, 1, -2, 1, -1, -1, -10688, -1, -2, 1, -1, -1, 4, -1, -7, 1, 6, -2, -1, -198, -3, 6123, 6, -1, -17}"
52/17,10,63,"{1, 1, 1, 1, -7, 1, -1, 1, -1, 1, -5, -1, -1, 2, -4, 2, -1, 2, 2, 2, 2, -1, -4, -142, -5, 1, -13, -5, 2, -5, -2, 1, -1, -3, -2239, -1, 63, -11, -3, 1, -1, -1, 1, -20, -1, 3, 1, -2, 1, -1, 17, -1, -12, 3, 6, -3, -5, -9, 2, -3, 6, -1, 17}"
53/17,10,81,"{1, 1, 1, 1, -1, 1, -1, 1, -1, -2, 1, -1, -4, 1, 2, -1, 3, -1, -7, 7, -131, 1, -1, 4, -1, 1, -81, -9, 1, 1, 1, 2, -1, 20, 1, -2, 2, -14, -1, -796, 2, 3, -3, 1, -1, -1, 2, -1, 4, -1, 1, 1, 4, 1, 17, -1, 2, 1, 15, 2, -1, 5, 2, -1, 2, 5, -1, 580, -2, 1, -11, -9, -2, -1, -2, 1, -1, -1, 2, 1, 3315}"
54/17,11,45,"{1, 1, 1, 7, 2, -1, 1, -1, 1, -1, 2, 2, -34, 2, 81, 1, -1, 27, -1, -23, 18, 2, -1, 244, -2, 1, 1, -1, 2, 1, 21, -1, -2, -3, 2, -1, -4, 1, 1, -16, -4, 1, -1, -7, 510}"
55/17,10,43,"{1, 1, 1, -1, 17, -1, 1, -1, 1, -1, 1, 5, 1, -1, -1, 2, -1, -2, -1, 2, -3, -3, 8, 1, -1, -6, -1, 2, -130, -2, -8, 1, 4, -7, -30, -97439, -6, 1, -4, -1, -1, -1, -68}"
56/17,11,39,"{1, 1, 2, -2, 3, -1, 1, -1, 1, -1, 1, -29, -17, 1, -5, -1, 1, -96, 1, 1, 1, 1, -2, -1, 1, 351, 1, -1, 2, 15, -9, -1, 1, 3, 1, -6, 4152, -1, 119}"
57/17,12,43,"{1, 1, -2, 3, 1, -1, 1, -1, 1, -1, 1, 2, -1, 1, 1, 1, -8, 1, -25, 2, -1, -10, -9, -53, -1, 1, -2, -1, 102, -1, 12, 7, -1, 10, 1, -1, 4, 1, -1, -1, 80, -3, 17}"
58/17,11,35,"{1, 1, 1, 7, -1, 1, -1, 1, -1, 1, -1, -5, -178, 2, -1, 2, 94, -5, 1, 1, -1, -17, 31, 1, -1, 1, 3, 1, 3, -1, -88, -1, -1, -2, -2992}"
59/17,12,61,"{1, -1, -16, -11, -1, 1, -1, 1, -1, 1, -1, 2, -1, 1, -3, 1, -5, 1, 3, 9, 5, -3, -4, 1, -1, 1, -6, 2, 1, -2, 4, 2, -1, -5, 1, -2, 8, 3, -1, -8, -3, 2, 5, 1, 2, -1, 2, 17, -1, -28, -223, -1, 1, -1, -138, -6, 50, 244, 1, 1, 323}"
60/17,11,89,"{1, 1, -6, 1, -6, 1, -1, 1, -1, 1, -1, 1, -1, -4, 1, -1, -52, -1, 1, -2, -10, 1, -1, 16, -2, 3, -1, 1, -5, -732, -10, 12, 1, -4, -3, 2, -2, 1, -1, -608, 1, 10, 1, -3, 1, -6, 2, -7, 10, 1, -1, 1942, 1, -1, -1, 23, 1, -1, 6, -5, 2, 3, 1, -1, 1, -16, 1, 1, 1, -1, -1, 3, 3, 53, -1, -7, 1, -1, 7, -1, 4, -1, 2, -1, -1, -28, 7, 5, 51}"
61/17,14,73,"{1, 2, 2, -2, -14, 1, -1, 1, -1, 1, -1, 1, -1, 1, 1, -1, -11, 1, 2, -4, 1, 3, 1, -4, -165, 13, 1, 1, 6, 1, -8, 3, -9, -3, 1, 139, -3, -1, -26, -1, -4, -3, -17, -1, 1, -5, 6, 1, -1, 1, -2, 1, -1, 2, 1, 1, -1, 7, -1, 17, -2, 1, -1, 1, -10, -1, -1, 1, -6, -1, -5, 1, 85}"
62/17,14,35,"{1, -1, 2, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, -1, -35, -1, 1, -85, -1, 1, 3, -2, -5440, -1, 1, -1, -2, 1, 1, 19, 1, 11, -1, -4, 204}"
63/17,16,29,"{1, -14, 17, -2, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 6, -2, 1, 85, -1, 3, 1, -1, 1, -18, -1868, 627, -2, -3, 1020}"
64/17,17,55,"{17, 1, 5, -13, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, -2, 2, -1, -3, -28, -1, 1, -142, 98, -2, 6, -5, -1, -1, -5, -4, 1, -1, -9, 22, 1, 1, 26, -1, 1, 1, -1, 34, 2, 29, -1, 6, 1, -69, 3, -1, -9, -4, 17}"
