λ,l(λ),u(λ),n-sequence
40/21,5,5,"{-2436, -1, 1, -1, -5}"
41/21,5,5,"{-21, 0, 1, -1, -21}"
43/21,5,5,"{-21, 1, -1, 1, -21}"
44/21,6,47,"{1, 1, 1, 1, 1, -1, 1, -2, 3, -2, 1, -11, -3, 6, 1, 1, 24, -4, 2, 1, 1, 5, -1, -2, -1, -1, -2, 1, 1, 2, 2, -2, 7, -9, 1, -16, -54, 2, -2, -1, -4, 7, 12, -4, -20, -3, 28}"
46/21,5,5,"{-42, 1, -1, 1, -3}"
47/21,7,55,"{1, 1, 1, 1, 1, -1, 1, -1, -1, -2, 6, -1, -3, -4, -3, -13, -20, -2, 1, 1, 3, -5, -3, -19, 2, -1, -1, -9, 1, -25, -1, 10, -3, 1, 2, 1, 1, 1, 1, 11, 2, -1, -6, 3, -8, 1, 2, -10, 1, 3, 1, 1, -18, 2, -7}"
50/21,7,103,"{1, 1, 1, 1, 1, -1, 1, -1, -4, -1, -8, 1, -4, -1, -2, -1, -1, -5, 1, 1, 5, 2, 4, 1, 5, -1, -10, 1, 1, 1, -5, -1, -2, 2, -1, -1, -4, 7, 1, -3, 4, -2, -1, 4, 11, -2, 1, -9, -106, -8, 2, -1, 7, 1, -23, -1, 3, -3, 1, 3, -1, 8, -1, -13, 25, -1, -3, -5, -2, -1, -1, 4, -9, -1, 6, -1, -1, -1, 5, -109, 1, -3, 3, 3, 12, -2, 2, 9, 1, -3, 3, 2, -2, -1, -2, 1, 5, -1, 12, 1, 2, 2, -84}"
52/21,7,49,"{1, 1, 1, 1, 1, -1, 1, -1, 14, 2, -5, -1, -14, 8, -2, 1, 1, 2, -1, -3, -1, -3, -3, 1, -2, -1, 23, -5, -2, -3, -1, -113, 1, 2, -1, -1, 9, -1, -15, -1, -1, 3, -1, 3, -1, -2, 8, 1, 42}"
53/21,7,111,"{1, 1, 1, 1, 1, -1, 1, -1, 5, -11, -5, 5, 1, 19, -6, 1, 2, -2, -1, 5, 2, -3, 1, -7, 1, 1, 2, -1, -1, -1, -1, -2, 1, 1, -2, -2, -3, 3, 18, 1, -6, -8, 1, 1, 2, -6, -2, -1, -2, -2, 1, 9, -2, 2, -2, 1, 3, -31, 8, -3, 1, -4, 5, -1, -4, -6, 1, 56, 1, 2, 1, -2, -2, 1, 1, 1, -4, -1, -1, 13, -1, -1, 3, -1, -3, 1, 1, -28, -1, -2, 4, 1, 6, 1, 1, -4, 2, -2, -3, -6, -1, -2, 2, -14, 13, -1, 3, -1, 2, 15, 7}"
55/21,5,5,"{-1, 1, -1, 1, -273}"
58/21,7,51,"{1, 1, 1, 1, -1, 1, -1, 1, 1, 6, -1, -1, -2, -5, 1, 29, 1, 37, -2, -2, 1, 2, -1, -2, -10, 14, -1, -6, 7, 1, 1, -2, -2, -1, 4, 2, -1, 3, -2, 1, -2, 1, 1, 1, 7, -22, -1, -1, 70, 1, 105}"
59/21,7,109,"{1, 1, 1, 1, 2, -1, 1, -1, 1, -5, 2, -4, 3, -1, 2, 1, 2, -1, 2, -2, -1, -1, -3, -1, 1, 1, 1, 2, -2, -1, -5, 6, 1, -1, -1, 2, -1, 2, 3, 2, 2, -67, -1, -219, 2, -1, -1, -1, 3, -5, 3, -1, -28, 1, -2, 2, -1, 5, -37, -2, 1, 1, 3, -1, -73, 16, 1, 2, -1, 6, -3, 1, -3, -3, -1, 35, 2, 2, 16, -1, -12, 1, 1, 11, -2, -1, 1, 1, -2, 1, -2, 5, -1, 3, 5, 1, 1, 1, 5, 1, -10, 4, 6, 1, -2, -2, -1, 217, 3}"
61/21,8,401,"{1, 1, 1, 1, -4, 1, -1, 1, -1, 2, -1, 1, 2, -2, 1, -2, 1, -1, -1, -13, 4, 1, 1, 3, -1, -1, -1, 1, 1, 1, 11, -2, 1, -1, -2, 3, -1, 1, 3, -50, 1, 3, 1, 4, -1, 1, 2, 1, -2, 2, 2, 1, 1, -1827, -1, 2, 1, -12, 1, -2, 2, 4, 1, 1, -4, 5, 9, -3, 1, 1, -2, -4, 27, 1, 1, 1, -28, 5, 3, -1, 4, -1, 1, 2, 1, -1, -1, -1, -1, -2, 10, 1, -2, 3, -1, 1, 2, 1, 4, -1, 2, -4, 1, -2, 1, 3, -2, -1, -2, -3, 1, -1, -1, -3, -1, 2, 1, -2, 2, 4, 2, 3, -3, -1, 1, 2, -1, -1, -64, -3, -5, -1, -1, 1, 1, -1, -1, 1, 1, 5, -3, -1, -1, 2, -1, -1, -1, -3, 77, 1, 2, -6, 2, 5, -1, 2, -2, -3, -6, 4, 2, 12, -2, 1, 1, 3, 1, -1, -1, 1, 1, 1, 5, 2, -1, 3, -38, 2, -1, 1, 1, -1, -1, 2, 2, -1, -4, -1, 3, 3, 3, 2, -5, 2, -1, -5, -6, 1, 3, 1, 2, -1, 2, -1, -1, 6, -5, 3, -2, 1, -1, -1, 1, 1, -2, -6, -1, -50, -20, -1, 64, 2, -2, 1, -2, 1, 76, 4, -1, 1, 1, 1, -2, 1, -1, -2, -1, 3, -1, 2, 2, 1, 9, 1, -5, 117, -1, 1, 2, -4, -1, -2, 8, 6, -1, -1, 1, 1, 1, -107, -1, 1, 2, 12, -7, 1, -4, 1, -2, 1, -1, -2, 4, 1, 1, 6, -7, -1, 1, 2, -2, 1, 2, 66, 1, 12, -2, 1, 3, -1, 6, 1, 2, 4, 2, 1, -2, 1, -2, -1, 5, -29, -2, -132, -3, 2, -2, -15, -1, -1, -2, -1, -1, -6, 2, 6, 3, -1, 2, -3, 1, 2, -17, -1, 18, -1, -5, -1, -5, 1, -3, 1, 1, -3, 5, -1, -22, -5, -1, 1, 1, 1, -6, -8, -36, 3, -1, 2, 1, -5, -2, 10, -1, -1, -19, 1, -45, -2, 2, -1, 2, -1, -1, 2, -8, -2, 1, -1, -3, 5, -3, -1, 2, -1, 1, 1, 1, 3, -1, 2, -1, 2, 1, 3, 7, -1, -1, -7, -1, 1, 1, -1030, -1, 94, -1, -8, 1, -3, 2, 3, 77}"
62/21,7,139,"{1, 1, 1, 1, 1, -1, 1, -1, 1, -4, -145, -1, -4, 2, -1, 2, -1, 1, 3, 1, -8, -1, -3, 2, -1, -2, 1, -13, 8, -1, -4, 1, -2, 1, -4, 2, -1, 3, 4, 125, 1, -2, -2, 1, -2, 1, -1, -1, -1, 1, 1, 1, -1, -1, 5, 2, 36, -2, -2, -1, -5, -3, 11, -5, 9, 2, 1, -2, -1, 1, 2, 1, -3, 1, 1, 2, 2, -2, 12, 3, -1, -4, 2, 5, 1, 3, 2, 1, 1, 1, 1, -2, -2, 9, -1, 1, 1, -7, -1, -3, 1, -1, -3, -4, -2, -1, 3, 2, -28, -2, 1, -2, -2, -6, -2, -1, -20, 1, -2, -3, 1, -1, -1, 10, -2, 1, 1, 2, 1, 1, 1, -6, 24, -9, -1, 2, -2, 735, -5}"
64/21,7,89,"{1, 1, 1, 1, -1, 1, -1, 1, -2, 1, -3, -3, 1, 8, -2, 2, 1, 1, -5, 2, 1, 2, 2, -2, 1, -173, 2, -3, -2, 2, -1, 6, -7, 4, -74, -7, -3, -1, 1, 1, -2, 2, -3, 3, 2, -4, 1, -2, -6, -1, 1, 2, 1, -1, -1, 2, -1, -1, -1, 1, 1, 1, -34, -1, 1, 3, 5, 3, -1, 3, 3, 1, -1, -3, 1, -483, 1, -1, -1, -1, -1, 2, -6, -1, 1, -31, -1, 14, 3}"
65/21,8,417,"{1, 1, 1, 1, -8, 1, -1, 1, -1, 1, -3, 1, -1, -1, -1, 1, 10, 2, 3, -1, 3, 2, -2, 1, 1, -3, 1, -1, -1, 2, -1, 1, 1, 2, -1, 14, 57, 1, -5, 1, 1, -3, 1, -1, 5, 1, -3, 3, 1, -2, 1, 9, 1, -1, -7, 2, -1, 1, -11, 1, -1, -36, -1, -1, -1, -1, 2, 3, 1, 5, 1, -1, 8, 1, -2, 1, 1, -3, 1, -1, -1, -1, 2, -1, 3, -5, -1, 1, -7, 8, -1, -1, -4, -2, 5, -1, -1, -6, -1, 6, -2, -2, 1, 1, 1, -3, 5, -1, 3, -1, 2, -11, -1, -1, -1, 1, 1, 7, -32, 1, 3, 1, -4, -1, 2, -1, 2, -4, -5, 3, -2, 1, -22, 1, -2, -1, 1, 1, 1, -38, 1, -1, -1, 4, 1, -2, 1, 3, 1, 3, -1, 1, -5, -1, -46, 1, 5, -1, 1, 11, -2, 1, -1, 10, 310, -1, 20, 1, -10, -1, 3, -3, -1, -3, -2, -8, -1, -4, 2, -1, 75, -1, 4, 1, 6, -2, -3, 1, -6, -7, 1, 6, 1, 3, -3, 1, -1, -1, 1, 1, -2, 1, 2, 1, -2, 1, -20, 5, 1, -10, 1, 2, -2, 1, -14, 2, -2, 1, -1, -20, 13, 1, -3, -1, 1, 10, -5, -6, 1, -1, 67, 4, -1, 1, 2, -1, -3, -3, -2, -2, 1, 5, -1, -11, -1, 8, 4, 1, -1, -1, 1, 3, 6, -1, -1, 12, 2, 11, -2, 1, -3, 1, -8, -1, -3, -2, -1, 1, 5, -2, 1, -2, 1, -1, -1, -1, 2, 2, -8, -1, -1, -2, 1, 1, 25, -1, 5, -1, 5, 1, 1, 1, 1, 1, 2, 1, 8, -1, -2, -1, -1, -4, 1, 1, -12, -2, -4, 1, 1, -1, -7, -7, -3, 2, 1, 1, -1, -1, -1, -3, 4, -2, 1, -1, 27, 1, -1, -15, -119, -1, -1, 24, 1, 61, 1, 1, -95, 1, -2, 2, 6, -1, 4, -1, 1, -24, 1, -7, -1, 2, -3, 1, -1, -1, -1, 1, 2, -5, -1, 4, 1, -1, 6, 2, 1, -3, 1, -1, -1, -3, 1, 1, 9, -4, -1, -2, 1, -1, -1, 136, 1, 8, -3, 5, -3, 1, 1, 1, -4, 1, -2, 2, 1, -1, -3, 1, -3, 4, -1, 1, -13, -6, 1, -6, -3, 2, 1, -1, -5, 2, 2, -3, 1, -2, 50, -6, 14}"
67/21,9,233,"{1, 1, 1, 1, -7, 1, -1, 1, -1, 1, -1, -1, -25, -4, -2, -3, -1, 1, -2, -5, 2, -1, 11, -6, -3, -24, -5, -1, 3, -2, 3, 1, -1, 4, -1, -2, 1, 1, 5, -1, 6, -1, 8, 1, 2, -1, 1, -2, -2, -2, 1, -1, -2, 1, -5, 1, 55, 1, -8, -2, -1, 2, -1, -2, 1, -3, 1, 10, 1, 2, 1, 1, 1, 2, -1, -3, 3, 2, -1, 1, -4, 1, -1, -1, -3, 5, 1, -4, 1, -128, -4, 1, -1, 2, 3, -1, 2, -1, -1, 6, 1, -28, -11, -4, 1, -19, 1, 1, 2, -1, 128, -1, 1, 4, -19, -1, 2, -4, 1, 336, 1, -3, -1, 6, -1, -2, -8, -2, 1, -4, -1, -3, -1, -2, 1, 1, 2, -1, 1, 5, -1, 2, 2, 12, -1, 2, -2, 17, 6, 1, 1, -1, -1, -8, 1, -1, 7, -4, 5, 3, -1, -1, 1, 10, 6, -11, -1, 1, 8, 1, 1, -4, 5, 2, 5, -2, 1, -2, 1, -3, 1, -1, -6, 6, -21, 2, 1, -1, 4, -1, 1, 6, -2, -34, 2, 3, 2, 1, -5, -1, -1, -1, -1, 6, -1, 1, 1, 1, -2, 2, 2, -1, 1, 15, -1, 2, -27, 1, 4, 3, -1, 5, -1, -6, -1, -2, 3, -1, 2, -3, -1, 1, 7}"
68/21,8,59,"{1, 1, 1, 1, -14, 1, -1, 1, -1, 1, -1, -6, 2, 2, 2, 1, -4, -1, 1, -2, -2, 1, -1, 3, 8, -4, -48, -2, -1, 1, -7, 3, 2, 1, -3, 1, 2, -2, 2, -1, -1, -2, -1, 1, 7, -3, 1, 46, 1, 1, 4, 2, 1, 55, -2, 1, -9, 2, -7}"
71/21,9,31,"{1, 1, 1, -13, 13, -1, 1, -1, 1, -1, 1, -1, -1, -1, 1, -4, -14, 2, -3, -4, -35, 6, 1, -1, 2, 3, -672, -2, 4, 1, 273}"
73/21,9,147,"{1, 1, 1, -1, -18, 1, -1, 1, -1, 1, -1, 1, -2, 1, -1, -1, 1, -2, 1, -1, 1, 1, -1, 1, -3, 2, -4, 14, -2, -1, 1, 2, 1, -9, -1, 1, -3, 4, 3, -1, -30, 1, -1, 1, -3, -1, -24, 1, 8, -7, -8, -1, -1, 1, -3, 1, 18, 1, -1, 1, 1, 1, -5, 1, -7, -19, 1, -1, -1, -4, 2, -1, 1, -8, 1, 23, 12, 6, 12, -6, 2, -3, 2, -1, 21, 1, -1, -1, 1, -1, -7, -1, 1, 1, 1, -1, -8, 2, 1, -3, -2, -1, 1, 1, -2, 1, -1, -1, 3, 1, 1, 1, -1, 1, 1, 3, 7, -2, -8, 4, -1, -2, -4, 3, -1, -2, -8, -7, -1, -10, 1, -2, -18, -1, -3, 2, -2, 1, -3, -2, 1, -29, -2, 1, -1149, 1, -7}"
74/21,9,113,"{1, 1, 1, 5, 13, -1, 1, -1, 1, -1, 1, -1, 1, 4, -1, -14, -1, 1, -2, 1, 1, -1, 3, 1, -84, 1, -5, 1, 1, -2, 2, 2, -3, 1, -4, -2, 1, -1, 3, 1, -1, 1, 1, -2, 5, 7, -1, -1, -7, 1, -1, -3, -6, -1, -1, 1, -12, 1, -4, 1, 1, 2, 4, -1, 1, -2, -8, -1, 1, -1, -5, 39, 2, -1, 1, -2, -5, 1, 3, -1, 1, -1, -4, -1, -2, -2, 3, 1, -2, -159, 1, -1, -1, -8, 1, 8, -9, -1, -2, 17, 1, -35, 4, -2, 1, 1, -22, 1, -4, -1, 10, 77, 1014}"
76/21,10,81,"{1, 1, 1, 9, 12, -1, 1, -1, 1, -1, 1, -1, 1, -1, -16, -2, -2, -21, -1, 1, -1, 10, -1, 1, -1, 1, 7, 7, 60, 7, -2, -2, -2, 9, 4, 1, 2, -1, 9, 1, -3, 2, 1, -106, 5, 1, -1, 1, 8, 3, -1, 1, 1, 1, -1, -1, 3, 1, -2, 1, -5, -1, -1986, 40, 1, -1, -4, -3, -2, -1, -4, 3, -9, -1, 2, -1, 1, -15, 1, 1, 21}"
79/21,12,89,"{1, 1, -16, -6, -15, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, -1, -1, 63, 1, -2, 1, -2, 2, -5, -9, -3, -7, 1, -5, -1, -4, 3, -3, 1, 3, -29, 1, -2, 1, 3, 2, 2, 1, 2, 1, -1, -1, -1, 2, -13, -578, -3, 1, -10, -1, 4, -1, 6, 1, -1, 1, -1, -1, -1, 3, -1, 1, -35, 4, 1, -2, 15, 1, -1, 3, -1, -15, -1, -1, -4, 2, 1, 7, -2, -5, 126, -1}"
80/21,14,77,"{1, 1, 2, -14, 14, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 3, -1, 1, -1, 7, -1, 1, -2, 3, 2, -1, 8, 15, -1, -9, -63, 1, 90, 33, 1, -1, -3, -28, 3, -3, 2, -1, 1, -1, 2, -9, -5, 2, 3, -1, -23, 1, -1, 1, -7, -2, 1, -1, 3, -1, 2, -1, 7, 3, -2, 1, -1, -1, 1, 6, -1, -3, -48, 42}"
82/21,20,81,"{1, 16, -1, -18, -3, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -7, 6, -1, -64, 1, -3, 1, 32, 1, -1, 752, 1, 3, -1, 1, -3, -2, 1, -1, 12, -1, 2, 1, -1, 29, 12, 5, -1, 3, 1, -1, 1, 12, -48, 7, 17, 108, 1, -1, 3, 1, -2, 2, 7, 4, -6, -1, 2, -1, -7, -1, -5, -5, 6, -1, 28, 6}"
83/21,28,∞,Unknown
1/22,2,2,"{-1, 22}"
3/22,3,3,"{-154, -1, 7}"
5/22,3,3,"{-44, -1, 4}"
7/22,3,3,"{-66, -1, 3}"
9/22,3,3,"{-2, 1, 11}"
13/22,3,3,"{-11, 1, -2}"
15/22,5,5,"{-3938, 1, -3, 1, -34}"
17/22,5,5,"{-891, 1, -2, 2, -8}"
19/22,5,5,"{-2, -11, -1, 1, 22}"
21/22,3,3,"{-22, -1, 1}"
23/22,3,3,"{-1, 1, -22}"
25/22,5,5,"{-2, -7, 1, -1, 451}"
27/22,5,5,"{-2167, 4, -1, 1, 35}"
29/22,5,5,"{-22, -3, 1, -1, -66}"
31/22,6,31,"{1, 1, 1, 1, 1, 2, -1, 1, -116, 2, -20, 1, 2, -1, -1, -2, 2, -3, 2, 5, -12, 2, -6, -8, -21, 2, -6, -7, -2, 75, 176}"
35/22,6,81,"{1, 1, 1, 1, 1, 1, -1, 1, 5, 2, -1, -2, 3, -2, 2, -13, -5, 5, -23, 24, -4, 1, 1, 2, -21, -16, 2, -4, 32, -10, -3, 2, -4, 1, 2, -2, 2, -1, -2, 10, -2, 12, 4, -3, 1, 1, 2, 4, 5, -3, -2, 3, -7, 3, -2, -2, -2, -2, -1, -2, 2, -1, -1, -2, -2, -2, 2, -4, -1, -2, 2, -17, -7, -6, -11, -4, 1, 2, -2, 11, -2}"
37/22,6,93,"{1, 1, 1, 1, 1, 12, -1, 1, -2, 1, 1, 2, -1, -2, -1, -3, -6, 2, -3, 1, 2, -3, 1, 2, -1, -2, 1, 3, -4, 1, 2, 5, 20, -29, 1, 3, -5, 25, -36, 1, 2, -2, 2, 5, -2, 14, 5, 8, -2, 1, 2, 2, -2, 9, -2, 3, 2, -2, 4, -4, 1, 2, -2, -2, 3, -5, 13, -6, 2, 13, -2, -5, 8, 2, -8, 100, 2, -4, 2, -2, 6, -1, -1, -2, 1, 3, -23, -2, 24, -2, 9, -3, 22}"
39/22,5,5,"{-77, -1, 1, -1, -2}"
41/22,5,5,"{-44, -2, 1, -1, 2}"
43/22,5,5,"{-506, -1, 1, -1, -11}"
45/22,5,5,"{-462, -1, 1, -1, 11}"
47/22,6,65,"{1, 1, 1, 1, 1, 2, -1, 1, -1, -4, 1, 1, -8, 8, 1, 2, -2, -4, 5, -6, 84, -1, -3, 2, -2, -4, 8, -1, 11, 6, 6, -1, -2, 1, 2, 1, 10, 1, 3, -7, 2, -2, 1, 2, -1, 25, 3, -2, -3, 1, 3, 25, 1, 3, -1, -1, -2, 1, 5, 10, 30, -1, -11, -4, -1}"
49/22,6,55,"{1, 1, 1, 1, 1, 1, -1, 1, -1, -1, -3, 2, -5, 1, 7, 3, -1, 9, -3, 2, -2, -1, -2, 2, -1, 34, 1, 1, 4, 3, 13, -3, 1, 6, 1, 1, 7, 2, -1, -40, -6, -1, -1, -27, 2, -1, -1, -2, 1, 4, -55, -8, 1, -5, -154}"
51/22,6,71,"{1, 1, 1, 1, 1, 1, -1, 1, -1, -2, -2, -2, -1, -1, -2, 1, -23, 1, 1, 21, -1, 4, 1, 2, 1, 1, 1, 3, 1, 16, 3, -1, -1, -4, 1, 4, -12, 54, 2, -2, -4, -20, -1, 10, 2, 1, 264, 1, 2, -1, -4, -5, 1, 2, 2, -1, 7, -6, -1, -1, 12, 7, -1, -1, -3, 3, 1, 1, 6, 1, 308}"
53/22,7,75,"{1, 1, 1, 1, 1, -1, 1, -1, -7, -1, 3, -70, 1, 2, 50, -4, 1, -17, -3, 5, -1, -2, 3, -2, -6, 2, -8, 2, -1, 8, 2, 1, 2, -4, 3, -15, -1, -3, 1, 3, 1, -2, -1, 3, 2, 2, 1, 1, 1, -4, 1, 3, 2, -3, 1, 2, -2, 2, 15, -2, 46, 1, -3, -4, 1, -7, 2, 3, -1, -2, -1, -8, -6, -1, 110}"
57/22,6,81,"{1, 1, 1, 1, 1, -9, 1, -1, 1, -1, -4, -5, -1, 3, 3, -1, -2, -1, -1, -2, -1, -4, -1, -1, -3, -6, 2, -1, -5, -1, -1, -1, -3, -3, 1, -2, -1, 7, -81, 1, -2, -1, -94, -1, 6, 2, -3, 2, -6, -1, -8, 1, -2, 4, 2, 1, 101, 57, -3, 159, 3, 1, -2, 2, 18, -2, -1, 2, -3, -2, 27, 2, -1, -3, -3, -16, -1, -1, -3, 10, 11}"
59/22,7,89,"{1, 1, 1, 1, 1, 3, -1, 1, -1, 1, 8, 3, 1, -2, 4, -1, -2, -1, 2, 2, -5, 4, 2, 1, -28, -21, 1, -2, 3, 2, -1, 5, -1, -24, -2, -2, 5, -1, -1, -5, -7, -1, 15, -1, 2, -3, 1, -19, -1, 5, 33, -2, 1, 1, 2, 1, 3, 17, -1, 2, 2, 1, 5, 1, -4, -1, -14, -1, 2, -1, -1, -1, 2, -1, -6, -2, -1, -2, 1, -4, 1, -15, 1, 185, -22, 1, 1, -33, -2}"
61/22,7,61,"{1, 1, 1, 1, -1, -11, 1, -1, 1, -1, 2, 1, -15, -150, 1, -1, -1, 4, -1, 2, 2, 2, -1, -1, -1, -1, -4, 8, 3, 1, 3, -1, -2, 1, 1, -8, 1, 2, 5, -2, -4, -4, -171, -1, -8, -1, 6, -3, -1, 13, 77, -1, 13, -2, 1, 1, 2, -3, -11, -1, -22}"
63/22,8,63,"{1, 1, 1, 1, 2, -11, 1, -1, 1, -1, 2, -1, 1, 1, 1, -37, 1, 1, -4, 1, 2, 1, 8, -1, -1, -3, 2, -1, 4, 7, -1, 1, 1, -3, -2, 10, -2, -7, 1, 6, -1, 1, 1, -148, 1, -2, -1, 2692, 2, -1, -8, -2, 4, -1, 1, 2, -3, -14, 1, 6, 1, -2, 5401}"
65/22,7,61,"{1, 1, 1, 1, 1, -22, 1, -1, 1, -1, 1, 3, -1, -2, 1, 5, -14, 15, 23, -106, -5, -2, 1, -11, 1, 1, 2, -1, 4, -1, 1, 3, 1, -2, -38, -1, 2, 1, 6, 1, -1, -1, -2, -4, -1, -1, -1, -14, -6, 3, 2, 3, -1, 3, 1, 5, -17, -3, -7, -1, -22}"
67/22,7,47,"{1, 1, 1, 1, 1, 1, -1, 1, -1, 1, -2, 1, -9, 1, -1, -2, 1, -121, -1, 1, 10, 1, 2, 1, 1, 5, 1, -6, -1, 2, 6, -4, 112, -1, -4, 2, -1, 1, 23, 1, 3, 8, -9, -2, 1, -44, 1}"
69/22,8,53,"{1, 1, 1, 1, -1, 5, -1, 1, -1, 1, -1, 2, -8, -5, 2, 1, 1, 10, 1, -1, -1, 1, -8, 10, 43, 1, 2, -1, 28, 7, -8, 1, -512, -1, 4, -9, 5, 1, -17, -1, -1, -1, 1, 5, -13, -1, -2, 1, 5, 3, -4, 55, 1}"
71/22,8,47,"{1, 1, 1, 1, 1, 1, -1, 1, -1, 1, -1, 3, 5, -7, -2, 1, -1, -45, 3, -1, 9, -2, 7, 4, 1, 2, -2, -5, -3, 2, 6, -1, -2, -1, 1, -2, -3, 1, -1, 33, -1, 14, 1, 1, -40, 420, 22}"
73/22,9,53,"{1, 1, 1, 1, 3, -2, 1, -1, 1, -1, 1, -1, 84, -1, 1, 45, 1, 3, 11, 5, 1, -2, 6, 2, 3, 2, 4, 13, 2, 1, -4, -1, 4, 2, -1, 4, 10, -1, -1, 2, -7, -1, 3, 2, 3, -1, -1, -1, 1, -2, -15, 2, 33}"
75/22,9,83,"{1, 1, 1, -1, 11, 9, -1, 1, -1, 1, -1, 1, -1, -5, 2, -51, 2, -46, 9, -1, -1, -1, -34, 2, 1, -1, -1, -1, -1, 1, 1, -3, -1, -1, 2, 4, 1, 1, -1, 11, -1, -1, -83, 1, -1, 1, 4, -3, -3, 1, -1, 2, -1, 1, 3, 5, -2, 1, 2, 255, 2, 9, 1, 1, 1, 24, -65, 1, 3, 10, -2, -3, 1, -1, 77, 2, -1, 2, -1, -4, 2, 11, 2}"
79/22,10,95,"{1, 1, 1, 16, 9, -11, 1, -1, 1, -1, 1, -1, 1, -1, 1, 1, -1, -1, 1, 1, -1, -2, 15, 1, -1, 1, -2, 1, -2, 1, 1, 11, -6, -1, 1, -1, -3, -2, 1, 17, -16, -1, -1, -6, 4, 2, -2, -110, -1, 1, 2, 1, -1, -26, -14, 23, -1, -4, 15, 13, -2, -2, -1, 2, 27, -2, -1, -1, -5, 2, 6, 1, -2, 1, -1, 5, -2, 1, -2, 1, -1, -1, 1, -2, 5, -1, -29, -7, 1, -1, 20, 2, 72, 1, -11}"
81/22,13,49,"{1, 1, -1, 5, -6, -2, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, -1, 28, 11, 5, -104, 2, -1, -47, -1, 1, -1, 2, 2, -1, 1, 1, -1, 1, 307, -1, 11, -1, 12, 1, -1, 2, -224, -2, 1, -16, -8, 11, -2}"
83/22,29,147,"{1, 1, 2, 3, 7, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, 20, 1, 3, 35, -3, 1, -8, 2, -1, 2, -1, 2, -16, 10, 26, 1, -3, 3, 2, -1, -1, 1, -1, 1, -38, -1, 1, -3, 8, -1, -55, -1, 1, -1, 1, 2, -6, 2, -3, 6, -5, 2, 2, -1, 1, -1, 1, -1, 3, -3, 1, -2, 4, 1, -1, 1, -2, 1, 4, -27, 1, -1, 2, -1, 1, 53, 2, 8, 2, 1, -21, 1, 1, -1, 1, -1, -22, 5, -7, -1, 41, -10, 1, -1, 1, 23, 7, -1, 1, 13, -2, -1, 1, -2, 10, 10, -2, 2, 1, 1, -1, 1, -13, 1, -1, 1, 1, -2, 4, 2, 1, -2, 1, -3, 1, -3, -49, 1, 4, 11, -2, -2, 1, -1, 1, 1, 2, 1, 2, 99}"
85/22,16,69,"{1, 5, -6, 4, -3, 8, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, 3, -2, 1, -9, 7, 6, -2, -11, -1, 1, -2, 4, 2, 2, 2, -1, -2, -1, 238, -2, 11, 1, 2, -1, 44, 19, 2, -1, -3, -6, 36, 1, -5, 1, -1, 2, 1, -9, 8, 17, -2, -1, -2, -6, 3, 1, -154}"
87/22,29,∞,Unknown
